Score,MAE_Teste,MAE_Treino,MSE_Teste,MSE_Treino,R2_Teste,R2_Treino,MAPE_Teste,MAPE_Treino
-4.545016308914185,133.39732606728415,128.83172029586166,21962.349444622658,20854.23075963138,-4.545016308914185,-4.057557257589717,0.31302777551817235,0.3074848239986019
-2.8265208913839044,108.34203059764423,115.36357841761142,15630.954290673431,17315.883261747258,-2.8265208913839044,-3.2682840378389857,0.25977334742812747,0.27018293334257465
-5.52819743847107,152.57463263575403,142.90600511996266,27663.396591362645,24542.737455973387,-5.52819743847107,-5.109904475736351,0.36076021611483117,0.3434512889825221
-3.6116977035403632,121.94546452467608,121.36580611920859,18943.947381204605,18980.67726092107,-3.6116977035403632,-3.647419245343686,0.28836072722909906,0.28756157385963116
-2.9195601175619426,116.48049415718111,113.48690686171943,17943.11016157603,16830.194975974344,-2.9195601175619426,-3.3392140514885638,0.27173468626181063,0.269671404062466
-4.076037485330305,130.37048062937097,121.13043110675223,21065.9742246675,18814.623199118698,-4.076037485330305,-3.6408231528074415,0.3068875390671441,0.28818140371864226
-2.6888296570200327,102.97749640486114,114.91305644710468,14433.73348990036,17200.142061870964,-2.6888296570200327,-3.1764244494558254,0.24778523872863958,0.2689947303168138
-3.356714200557181,120.14523662971294,117.20999011765407,18740.998524739545,17792.25117803897,-3.356714200557181,-3.4522654163905226,0.28180532479860204,0.2781963391779722
-3.370637796160133,117.5974455875196,125.06631309825653,18034.112120441154,19752.813561068295,-3.370637796160133,-3.849456436452722,0.2793088787615352,0.2958397410971325
-4.51345545542805,128.57062505949614,130.32021469224662,20511.43669719811,21379.720429512447,-4.51345545542805,-4.030433842685196,0.30759158087612587,0.3085076931612471
-2.7503608684222893,102.12556388307908,107.65100815153089,14235.475807880586,15619.171921308047,-2.7503608684222893,-2.702538690161902,0.23982884491024084,0.25328611396715744
-2.8051424348648637,109.55925558824242,108.75148205887115,15859.060367044225,15819.233246870923,-2.8051424348648637,-2.9023064136844825,0.2561940515186423,0.25679715677259374
-5.2289192464655665,144.69846000152629,147.23709984936988,25943.607621120944,25693.498125956034,-5.2289192464655665,-5.328042674093406,0.34352568051763643,0.3528159999699083
-4.495780049350747,139.10741178136416,137.65798148632334,23448.334471267815,23193.556908633913,-4.495780049350747,-4.774454956255499,0.33117911347757034,0.3280784467157115
-2.4314909176968293,104.32958862880065,101.67180954144611,14583.89966393432,14218.93963803214,-2.4314909176968293,-2.533954814215382,0.24624748654017897,0.2387147481285971
